AFRO:NIGERIA:ADAMAWA
AFRO:NIGERIA:BAUCHI
AFRO:NIGERIA:BENUE
AFRO:NIGERIA:BORNO
AFRO:NIGERIA:FCT_ABUJA
AFRO:NIGERIA:GOMBE
AFRO:NIGERIA:JIGAWA
AFRO:NIGERIA:KADUNA
AFRO:NIGERIA:KANO
AFRO:NIGERIA:KATSINA
AFRO:NIGERIA:KEBBI
AFRO:NIGERIA:KOGI
AFRO:NIGERIA:KWARA
AFRO:NIGERIA:NASARAWA
AFRO:NIGERIA:NIGER
AFRO:NIGERIA:PLATEAU
AFRO:NIGERIA:SOKOTO
AFRO:NIGERIA:TARABA
AFRO:NIGERIA:YOBE
AFRO:NIGERIA:ZAMFARA
