NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:ANGOLA:BENGUELA:CHONGOROI,13.7722,-13.6014,71062,6101.0
AFRO:ANGOLA:BENGUELA:CUBAL,14.3302,-13.1643,255393,4552.5
AFRO:ANGOLA:BENGUELA:GANDA,14.7217,-13.1326,197364,4628.3
AFRO:ANGOLA:BENGUELA:LOBITO,13.8667,-12.1059,322343,2636.5
AFRO:ANGOLA:BIE:ANDULO,16.4358,-11.2782,168419,10120.4
AFRO:ANGOLA:BIE:CAMACUPA,17.751,-12.4332,105123,9144.6
AFRO:ANGOLA:BIE:CATABOLA,17.2391,-12.1416,83241,2850.5
AFRO:ANGOLA:BIE:CHINGUAR,16.5694,-12.5778,79214,2879.2
AFRO:ANGOLA:BIE:CHITEMBO,17.2086,-13.4747,50018,19077.3
AFRO:ANGOLA:BIE:CUEMBA,18.4123,-11.8236,38864,13127.2
AFRO:ANGOLA:BIE:CUITO,17.0104,-12.5417,306854,4762.0
AFRO:ANGOLA:BIE:CUNHINGA,16.7932,-12.0005,51006,1956.1
AFRO:ANGOLA:BIE:NHAREA,17.1432,-11.3129,87105,7006.6
AFRO:ANGOLA:CABINDA:BELIZE,12.8295,-4.5914,35077,1247.9
AFRO:ANGOLA:CABINDA:BUCO_ZAU,12.5239,-4.8193,54088,1890.5
AFRO:ANGOLA:CABINDA:CABINDA,12.3676,-5.4703,1013261,2212.8
AFRO:ANGOLA:CABINDA:CACONGO,12.2453,-5.0593,107025,1653.1
AFRO:ANGOLA:CUANDO_CUBANGO:CALAI,19.4046,-17.3743,11835,7855.3
AFRO:ANGOLA:CUANDO_CUBANGO:CUANGAR,18.1404,-17.051,17811,18925.2
AFRO:ANGOLA:CUANDO_CUBANGO:CUCHI,16.9579,-14.6913,32536,12018.0
AFRO:ANGOLA:CUANDO_CUBANGO:CUITO_CUANAVALE,18.8253,-14.9309,28940,35188.9
AFRO:ANGOLA:CUANDO_CUBANGO:DIRICO,20.8412,-17.5196,9704,18583.0
AFRO:ANGOLA:CUANDO_CUBANGO:MAVINGA,20.2531,-16.1158,19636,44408.9
AFRO:ANGOLA:CUANDO_CUBANGO:MENONGUE,17.7327,-15.2021,227387,23663.8
AFRO:ANGOLA:CUANDO_CUBANGO:NANCOVA,18.7052,-16.3736,2974,10389.5
AFRO:ANGOLA:CUANDO_CUBANGO:RIVUNGO,21.9472,-16.8488,22478,29658.7
AFRO:ANGOLA:CUANZA_NORTE:AMBACA,15.5022,-8.2522,37725,3130.4
AFRO:ANGOLA:CUANZA_NORTE:BANGA,15.1372,-8.7112,6463,1290.8
AFRO:ANGOLA:CUANZA_NORTE:BOLONGONGO,15.0955,-8.4041,8847,1041.0
AFRO:ANGOLA:CUANZA_NORTE:CAMBAMBE,14.4954,-9.4266,61184,5282.9
AFRO:ANGOLA:CUANZA_NORTE:CAZENGO,14.8016,-9.3372,100671,1819.8
AFRO:ANGOLA:CUANZA_NORTE:GOLUNGO_ALTO,14.6417,-9.1051,23948,1992.8
