NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:BONO_EAST:KINTAMPO_SOUTH,-1.7901,7.9431,86328,1520.5
AFRO:GHANA:BONO_EAST:NKORANZA_NORTH,-1.5957,7.7012,86181,1392.8
AFRO:GHANA:BONO_EAST:NKORANZA_SOUTH,-1.6661,7.4655,122435,926.8
AFRO:GHANA:BONO_EAST:PRU_EAST,-0.8263,8.1361,97576,1659.0
AFRO:GHANA:BONO_EAST:PRU_WEST,-1.3125,8.0044,66269,1576.2
AFRO:GHANA:BONO_EAST:SENE_EAST,-0.1816,7.5942,83926,4412.3
AFRO:GHANA:BONO_EAST:SENE_WEST,-0.5845,7.7368,80805,3277.4
AFRO:GHANA:BONO_EAST:TECHIMAN_MUNICIPAL,-1.9630,7.5341,156130,651.9
AFRO:GHANA:BONO_EAST:TECHIMAN_NORTH,-1.9672,7.6952,70024,391.2
AFRO:GHANA:CENTRAL:ABURA_ASEBU_KWAMANKESE,-1.2040,5.2815,142389,378.7
AFRO:GHANA:CENTRAL:AGONA_EAST,-0.6614,5.6370,109157,328.9
AFRO:GHANA:CENTRAL:AGONA_WEST_MUNICIPAL,-0.7948,5.6210,146197,357.7
AFRO:GHANA:CENTRAL:AJUMAKO_ENYAN_ESSIAM,-0.9881,5.4228,195034,524.0
AFRO:GHANA:CENTRAL:ASIKUMA_ODOBEN_BRAKWA,-1.0123,5.6333,131495,776.7
AFRO:GHANA:CENTRAL:ASSIN_FOSU,-1.3040,5.7321,69850,280.2
AFRO:GHANA:CENTRAL:ASSIN_NORTH,-1.3790,5.8424,124088,729.1
AFRO:GHANA:CENTRAL:ASSIN_SOUTH,-1.2803,5.5283,139428,1105.7
AFRO:GHANA:CENTRAL:AWUTU_SENYA,-0.5334,5.6323,107939,245.8
AFRO:GHANA:CENTRAL:AWUTU_SENYA_EAST,-0.4801,5.4897,120697,108.2
AFRO:GHANA:CENTRAL:CAPE_COAST_METROPOLITAN,-1.2948,5.1719,235414,122.7
AFRO:GHANA:CENTRAL:EFFUTU_MUNICIPAL,-0.6044,5.3776,91781,85.7
AFRO:GHANA:CENTRAL:EKUMFI,-0.9082,5.2633,92871,277.9
AFRO:GHANA:CENTRAL:GOMOA_CENTRAL,-0.7225,5.3494,41018,121.9
AFRO:GHANA:CENTRAL:GOMOA_EAST,-0.6022,5.4743,343216,542.4
AFRO:GHANA:CENTRAL:GOMOA_WEST,-0.8209,5.3944,92457,338.6
AFRO:GHANA:CENTRAL:KOMENDA_EDINA_EGUAFO_ABIREM_MUNICIPAL,-1.4477,5.1297,173192,454.7
AFRO:GHANA:CENTRAL:MFANTSEMAN_MUNICIPAL,-1.1094,5.2533,147013,301.9
AFRO:GHANA:CENTRAL:TWIFO_ATTI_MORKWA,-1.5980,5.6768,72471,960.4
AFRO:GHANA:CENTRAL:TWIFO_HEMANG_LOWER_DENKYIRA,-1.4407,5.3867,45139,578.4
AFRO:GHANA:CENTRAL:UPPER_DENKYIRA_EAST_MUNICIPAL,-1.7441,5.8636,81079,504.0
AFRO:GHANA:CENTRAL:UPPER_DENKYIRA_WEST,-2.0207,6.1045,75619,581.8
AFRO:GHANA:EASTERN:ABUAKWA_NORTH,-0.3896,6.2387,87325,159.5
AFRO:GHANA:EASTERN:ABUAKWA_SOUTH,-0.4926,6.1621,113614,351.0
AFRO:GHANA:EASTERN:ACHIASE,-1.0087,5.7976,108195,416.4
AFRO:GHANA:EASTERN:AKWAPEM_NORTH,-0.1668,5.9569,100789,308.0
AFRO:GHANA:EASTERN:AKWAPEM_SOUTH,-0.2331,5.8588,55537,225.2
AFRO:GHANA:EASTERN:AKYEM_MANSA,-1.1064,6.0767,119967,614.4
AFRO:GHANA:EASTERN:ASENE_AKROSO_MANSO,-0.8200,5.8506,98473,420.9
AFRO:GHANA:EASTERN:ASUOGYAMAN,0.0907,6.3898,116652,769.5
AFRO:GHANA:EASTERN:ATIWA_EAST,-0.6835,6.4094,77210,582.8
AFRO:GHANA:EASTERN:ATIWA_WEST,-0.6367,6.2476,100308,588.5
AFRO:GHANA:EASTERN:AYENSUANO,-0.4746,5.9428,84621,501.7
AFRO:GHANA:EASTERN:BIRIM_CENTRAL_MUNICIPAL,-1.0013,5.9639,62440,107.1
AFRO:GHANA:EASTERN:BIRIM_NORTH,-0.9900,6.3742,114284,569.6
AFRO:GHANA:EASTERN:BIRIM_SOUTH,-1.0759,5.8971,99043,313.1
AFRO:GHANA:EASTERN:DENKYEMBOUR,-0.8442,6.0535,86732,438.5
AFRO:GHANA:EASTERN:FANTEAKWA_NORTH,-0.3577,6.5106,80885,840.6
AFRO:GHANA:EASTERN:FANTEAKWA_SOUTH,-0.3845,6.3453,46157,263.4
AFRO:GHANA:EASTERN:KWAEBIBIREM,-0.8506,6.2110,112376,807.0
AFRO:GHANA:EASTERN:KWAHU_AFRAM_PLAINS_NORTH,0.0271,6.8990,136179,2352.0
AFRO:GHANA:EASTERN:KWAHU_AFRAM_PLAINS_SOUTH,-0.3659,6.8973,194258,3109.7
AFRO:GHANA:EASTERN:KWAHU_EAST,-0.8113,6.7116,69492,626.4
AFRO:GHANA:EASTERN:KWAHU_SOUTH,-0.5743,6.6316,81159,799.4
AFRO:GHANA:EASTERN:KWAHU_WEST,-0.7812,6.5208,90652,402.6
AFRO:GHANA:EASTERN:LOWER_MANYA,0.0058,6.1922,81651,305.9
AFRO:GHANA:EASTERN:NEW_JUABEN_NORTH_MUNICIPAL,-0.3104,6.1415,97162,105.9
