NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:ASHANTI:ADANSI_ASOKWA:A0000,-1.2529,6.2336,8987,118.7
AFRO:GHANA:ASHANTI:ADANSI_ASOKWA:A0001,-1.5311,6.1767,5831,81.9
AFRO:GHANA:ASHANTI:ADANSI_ASOKWA:A0002,-1.3491,6.1874,9212,108.6
AFRO:GHANA:ASHANTI:ADANSI_ASOKWA:A0003,-1.4358,6.1239,14333,110.8
AFRO:GHANA:ASHANTI:ADANSI_ASOKWA:A0004,-1.4353,6.2387,10837,125.1
AFRO:GHANA:ASHANTI:ADANSI_ASOKWA:A0005,-1.5126,6.0917,5573,53.1
AFRO:GHANA:ASHANTI:ADANSI_NORTH:A0000,-1.6302,6.2783,18635,81.2
AFRO:GHANA:ASHANTI:ADANSI_NORTH:A0001,-1.5260,6.2644,25349,97.0
AFRO:GHANA:ASHANTI:ADANSI_NORTH:A0002,-1.5263,6.3264,14416,81.0
AFRO:GHANA:ASHANTI:ADANSI_SOUTH:A0000,-1.2801,5.9453,6103,92.6
AFRO:GHANA:ASHANTI:ADANSI_SOUTH:A0001,-1.3977,5.9602,7476,104.5
AFRO:GHANA:ASHANTI:ADANSI_SOUTH:A0002,-1.3350,6.1053,7140,94.5
AFRO:GHANA:ASHANTI:ADANSI_SOUTH:A0003,-1.3156,6.0137,13042,84.4
AFRO:GHANA:ASHANTI:ADANSI_SOUTH:A0004,-1.2481,6.0724,6958,94.3
AFRO:GHANA:ASHANTI:ADANSI_SOUTH:A0005,-1.4938,6.0097,5241,107.8
AFRO:GHANA:ASHANTI:ADANSI_SOUTH:A0006,-1.4842,5.9223,12124,95.4
AFRO:GHANA:ASHANTI:ADANSI_SOUTH:A0007,-1.3997,6.0449,5764,90.8
AFRO:GHANA:ASHANTI:AFIGYA_KWABRE_NORTH:A0000,-1.6343,7.0961,37921,92.0
AFRO:GHANA:ASHANTI:AFIGYA_KWABRE_NORTH:A0001,-1.6098,6.9824,61022,95.6
AFRO:GHANA:ASHANTI:AFIGYA_KWABRE_SOUTH:A0000,-1.6419,6.8158,65974,119.8
AFRO:GHANA:ASHANTI:AFIGYA_KWABRE_SOUTH:A0001,-1.5884,6.8695,96987,104.5
AFRO:GHANA:ASHANTI:AHAFO_ANO_NORTH:A0000,-2.2386,6.8280,17453,98.2
AFRO:GHANA:ASHANTI:AHAFO_ANO_NORTH:A0001,-2.1698,6.8846,16381,100.4
AFRO:GHANA:ASHANTI:AHAFO_ANO_NORTH:A0002,-2.3376,6.8579,22097,99.9
AFRO:GHANA:ASHANTI:AHAFO_ANO_NORTH:A0003,-2.2638,6.9170,17473,93.2
AFRO:GHANA:ASHANTI:AHAFO_ANO_NORTH:A0004,-2.1884,6.9824,31134,102.9
AFRO:GHANA:ASHANTI:AHAFO_ANO_NORTH:A0005,-2.1031,6.9676,16103,101.5
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_EAST:A0000,-1.8384,6.8459,8302,119.7
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_EAST:A0001,-1.8460,6.9422,9235,104.3
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_EAST:A0002,-1.9837,6.8170,10272,93.3
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_EAST:A0003,-1.9279,6.9805,4607,75.8
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_EAST:A0004,-1.8848,7.0531,9492,89.0
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_EAST:A0005,-1.9301,6.8879,16647,105.3
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_EAST:A0006,-1.9236,6.7823,7779,101.7
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_WEST:A0000,-2.0520,6.8242,5071,85.5
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_WEST:A0001,-2.0082,7.0178,10866,124.2
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_WEST:A0002,-2.2294,6.7499,4553,80.9
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_WEST:A0003,-2.1266,6.8320,8982,128.1
AFRO:GHANA:ASHANTI:AHAFO_ANO_SOUTH_WEST:A0004,-2.0336,6.9145,7182,88.2
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL:A0000,-1.6362,6.3547,4550,83.1
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL:A0001,-1.7768,6.1532,5975,90.4
AFRO:GHANA:ASHANTI:AMANSIE_CENTRAL:A0002,-1.9255,6.0717,8512,94.6
